ticker,cik,10-K #1 Filing Date,10-K #1 Period,10-K #2 Filing Date,10-K #2 Period,10-Q #1 Filing Date,10-Q #1 Period,10-Q #2 Filing Date,10-Q #2 Period,10-Q #3 Filing Date,10-Q #3 Period,10-Q #4 Filing Date,10-Q #4 Period,10-Q #5 Filing Date,10-Q #5 Period,10-Q #6 Filing Date,10-Q #6 Period
expd,0000746515,2020-02-21,2019-12-31,2019-02-22,2018-12-31,2020-05-07,2020-03-31,,,,,,,,,,
exr,0001289490,2020-02-25,2019-12-31,2019-02-26,2018-12-31,2020-05-08,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-07,2019-03-31,2018-11-06,2018-09-30,2018-08-09,2018-06-30
xom,0000034088,2020-02-26,2019-12-31,2019-02-27,2018-12-31,2020-05-06,2020-03-31,2019-11-06,2019-09-30,2019-08-07,2019-06-30,2019-05-02,2019-03-31,2018-11-07,2018-09-30,2018-08-02,2018-06-30
ffiv,0001048695,2019-11-15,2019-09-30,2018-11-21,2018-09-30,2020-05-06,2020-03-31,2020-02-05,2019-12-31,2019-08-02,2019-06-30,2019-05-03,2019-03-31,2019-02-01,2018-12-31,2018-08-01,2018-06-30
fb,0001326801,2020-01-30,2019-12-31,2019-01-31,2018-12-31,2020-04-30,2020-03-31,2019-10-31,2019-09-30,2019-07-25,2019-06-30,2019-04-25,2019-03-31,2018-10-31,2018-09-30,2018-07-26,2018-06-30
fast,0000815556,2020-02-06,2019-12-31,2019-02-06,2018-12-31,2020-04-17,2020-03-31,2019-10-16,2019-09-30,2019-07-16,2019-06-30,2019-04-16,2019-03-31,2018-10-16,2018-09-30,2018-07-16,2018-06-30
frt,0000034903,2020-02-10,2019-12-31,2019-02-13,2018-12-31,2020-05-06,2020-03-31,2019-10-30,2019-09-30,2019-08-01,2019-06-30,2019-05-02,2019-03-31,2018-10-31,2018-09-30,2018-08-01,2018-06-30
fdx,0001048911,2019-07-16,2019-05-31,2018-07-16,2018-05-31,2020-03-17,2020-02-29,2019-12-17,2019-11-30,2019-09-17,2019-08-31,2019-03-19,2019-02-28,2018-12-18,2018-11-30,,
fis,0001136893,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-05-07,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-04-30,2019-03-31,2018-10-30,2018-09-30,2018-07-31,2018-06-30
fitb,0000035527,2020-03-02,2019-12-31,2019-03-01,2018-12-31,2020-05-08,2020-03-31,2019-11-08,2019-09-30,2019-08-08,2019-06-30,2019-05-10,2019-03-31,2018-11-06,2018-09-30,2018-08-08,2018-06-30
fe,0001031296,2020-02-10,2019-12-31,2019-02-19,2018-12-31,2020-04-23,2020-03-31,2019-11-04,2019-09-30,2019-07-23,2019-06-30,2019-04-23,2019-03-31,2018-10-25,2018-09-30,2018-07-31,2018-06-30
fisv,0000798354,2020-02-27,2019-12-31,2019-02-21,2018-12-31,2020-05-08,2020-03-31,2019-11-07,2019-09-30,2019-07-26,2019-06-30,2019-05-01,2019-03-31,2018-11-01,2018-09-30,2018-08-01,2018-06-30
flt,0001175454,2020-03-02,2019-12-31,2019-03-01,2018-12-31,2020-05-11,2020-03-31,2019-11-12,2019-09-30,2019-08-09,2019-06-30,2019-05-10,2019-03-31,2018-11-08,2018-09-30,2018-08-09,2018-06-30
flir,0000354908,2020-02-27,2019-12-31,2019-02-28,2018-12-31,2020-05-06,2020-03-31,2019-10-31,2019-09-30,2019-07-31,2019-06-30,2019-05-02,2019-03-31,2018-10-30,2018-09-30,2018-07-27,2018-06-30
fls,0000030625,2020-02-18,2019-12-31,2019-02-20,2018-12-31,2020-05-07,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-02,2019-03-31,2018-11-07,2018-09-30,2018-08-08,2018-06-30
fmc,0000037785,2020-02-28,2019-12-31,2019-02-28,2018-12-31,2020-05-06,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-08,2019-03-31,2018-11-06,2018-09-30,2018-08-02,2018-06-30
f,0000037996,2020-02-05,2019-12-31,2019-02-21,2018-12-31,2020-04-29,2020-03-31,2019-10-24,2019-09-30,2019-07-25,2019-06-30,2019-04-26,2019-03-31,2018-10-25,2018-09-30,2018-07-26,2018-06-30
ftnt,0001262039,2020-02-26,2019-12-31,2019-02-27,2018-12-31,2020-05-07,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-05-08,2019-03-31,2018-11-07,2018-09-30,2018-08-07,2018-06-30
ftv,0001659166,2020-02-27,2019-12-31,2019-02-28,2018-12-31,2020-04-30,2020-03-27,2019-10-25,2019-09-27,2019-07-25,2019-06-28,2019-04-25,2019-03-29,2018-10-25,2018-09-28,2018-07-26,2018-06-29
fbhs,0001519751,2020-02-26,2019-12-31,2019-02-25,2018-12-31,2020-05-01,2020-03-31,2019-10-31,2019-09-30,2019-08-02,2019-06-30,2019-05-07,2019-03-31,2018-11-08,2018-09-30,2018-07-31,2018-06-30
foxa,0001754301,2019-08-09,2019-06-30,,,2020-05-07,2020-03-31,2020-02-05,2019-12-31,,,,,,,,
fox,0001754301,2019-08-09,2019-06-30,,,2020-05-07,2020-03-31,2020-02-05,2019-12-31,2019-11-06,2019-09-30,2019-05-10,2019-03-31,2019-03-18,2018-12-31,,
ben,0000038777,2019-11-12,2019-09-30,2018-11-09,2018-09-30,2020-04-30,2020-03-31,2020-01-30,2019-12-31,2019-07-30,2019-06-30,2019-04-26,2019-03-31,2019-01-30,2018-12-31,2018-07-27,2018-06-30
